iter	Passed	Remaining
889	2000	247
890	2001	244
891	2003	242
892	2005	240
893	2006	237
894	2008	235
895	2010	233
896	2012	231
897	2013	228
898	2015	226
899	2017	224
900	2019	221
901	2021	219
902	2023	217
903	2025	215
904	2026	212
905	2028	210
906	2030	208
907	2032	205
908	2034	203
909	2035	201
910	2037	199
911	2039	196
912	2041	194
913	2042	192
914	2044	189
915	2047	187
916	2049	185
917	2051	183
918	2053	180
919	2055	178
920	2056	176
921	2059	174
922	2062	172
923	2064	169
924	2066	167
925	2067	165
926	2069	162
927	2071	160
928	2074	158
929	2076	156
930	2078	154
931	2081	151
932	2083	149
933	2085	147
934	2087	145
935	2090	142
936	2092	140
937	2094	138
938	2096	136
939	2098	133
940	2100	131
941	2102	129
942	2104	127
943	2106	124
944	2108	122
945	2110	120
946	2112	118
947	2114	115
948	2116	113
949	2118	111
950	2120	109
951	2122	107
952	2125	104
953	2127	102
954	2131	100
955	2133	98
956	2135	95
957	2137	93
958	2139	91
959	2141	89
960	2143	86
961	2146	84
962	2148	82
963	2150	80
964	2152	78
965	2154	75
966	2156	73
967	2159	71
968	2161	69
969	2162	66
970	2164	64
971	2166	62
972	2168	60
973	2170	57
974	2172	55
975	2174	53
976	2176	51
977	2178	49
978	2180	46
979	2183	44
980	2184	42
981	2186	40
982	2188	37
983	2190	35
984	2192	33
985	2193	31
986	2195	28
987	2197	26
988	2199	24
989	2201	22
990	2203	20
991	2205	17
992	2206	15
993	2208	13
994	2210	11
995	2212	8
996	2214	6
997	2216	4
998	2218	2
999	2220	0
